sample,light_intensity,intensity_group,initial_area,final_area,change_percent,duration_hours
1,0.37742523975885955,Low,996221,1462414,46.79614262297221,20.666666666666664
2,0.876934678643173,High,951418,1425408,49.81932231679451,20.666666666666664
3,0.5593319454747254,Low,990749,1315696,32.798115365243866,20.666666666666664
4,0.16585320075917387,Very Low,693808,782217,12.74257431450776,20.666666666666664
5,0.7716107149955482,High,914513,797317,-12.815126739587082,20.666666666666664
6,0.7724659185359299,High,546669,355202,-35.02430172554142,20.666666666666664
7,0.16164046078245653,Very Low,690673,419531,-39.25765159489368,20.666666666666664
8,0.27233842320748736,Very Low,695302,417690,-39.92682316461049,20.666666666666664
9,0.32561501771508844,Very Low,1423393,1589877,11.696277837533273,20.666666666666664
10,0.6326121651091076,Medium,1175973,1379622,17.31748943215533,20.666666666666664
11,0.9193995210257941,Very High,1324277,1123363,-15.171599295313593,20.666666666666664
12,0.9597245567673008,Very High,1241085,476366,-61.616972246058886,20.666666666666664
13,0.6522825423162754,Medium,1577926,691937,-56.14895755567751,20.666666666666664
14,0.9928156277200251,Very High,1627644,777494,-52.23193769644959,20.666666666666664
15,0.7268985758133352,Medium,978429,425704,-56.49106884607876,20.666666666666664
16,0.4243918632628634,Low,1453113,644869,-55.62155179948153,20.666666666666664
